settlement_id,aae_range,observation_count,mean_ebc,sd_ebc,median_ebc,total_obs,pct_obs,wt_av_ebc,sum_ebc,wt_percent
Namiwawa,bb,56,1.9488888922697143,0.8996910489652393,1.7271,311,18,0.35080000060854855,5.323775515716029,6.589308650843201
Namiwawa,Mixed,105,3.1950472424594287,1.833338125577023,2.9384,311,33.8,1.0799259679512867,5.323775515716029,20.284964397227036
Namiwawa,ff,150,8.07686628040704,7.7856542944489195,5.144500000000001,311,48.2,3.8930495471561937,5.323775515716029,73.12572695192975
Naperi,bb,165,1.8689705212121213,0.4151226755121147,1.8458,355,46.5,0.8690712923636364,2.3864475401348106,36.41694517678535
Naperi,Mixed,115,3.237901275027367,2.5898005987896027,2.3826000000000005,355,32.4,1.049080013108867,2.3864475401348106,43.95990255246107
Naperi,ff,75,2.2194134344185175,3.063436522653577,1.1208000000000002,355,21.1,0.4682962346623072,2.3864475401348106,19.623152270753586
Nyambadwe,bb,141,1.618422046979268,0.8799166593071028,1.3922000000000003,324,43.5,0.7040135904359817,4.002287370751795,17.590280887395117
Nyambadwe,Mixed,107,3.763462343147903,2.987917135527916,3.004,324,33,1.241942573238808,4.002287370751795,31.03081958369021
Nyambadwe,ff,76,8.750345562029812,7.505895580201401,7.0478000000000005,324,23.5,2.056331207077006,4.002287370751795,51.37889952891468
Sunnyside,bb,93,2.371243698924731,1.3219507160527695,1.9692000000000003,320,29.1,0.6900319163870968,3.6153109988328453,19.08637781396578
Sunnyside,Mixed,108,3.522728700754489,2.768321352411394,2.8386000000000005,320,33.8,1.1906823008550171,3.6153109988328453,32.9344363801458
Sunnyside,ff,119,4.662894574168632,3.957571699444992,3.131200000000001,320,37.2,1.7345967815907313,3.6153109988328453,47.97918580588842
